danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.155,0.176,9,-15.716,0,0.0374,0.849,0.818,0.123,0.0372,84.962,audio_features,0P0LAsqiavYc6V54JSeseB,spotify:track:0P0LAsqiavYc6V54JSeseB,https://api.spotify.com/v1/tracks/0P0LAsqiavYc6V54JSeseB,https://api.spotify.com/v1/audio-analysis/0P0LAsqiavYc6V54JSeseB,979720,4
0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,audio_features,17i5jLpzndlQhbS4SrTd0B,spotify:track:17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/tracks/17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/audio-analysis/17i5jLpzndlQhbS4SrTd0B,152280,4
0.621,0.692,7,-5.837,0,0.0435,0.336,0.000458,0.0877,0.446,144.968,audio_features,0cLS7FslBJgsuWwJNRnPWB,spotify:track:0cLS7FslBJgsuWwJNRnPWB,https://api.spotify.com/v1/tracks/0cLS7FslBJgsuWwJNRnPWB,https://api.spotify.com/v1/audio-analysis/0cLS7FslBJgsuWwJNRnPWB,201997,4
0.593,0.392,10,-6.872,0,0.0257,0.382,0.000114,0.131,0.25,75.065,audio_features,3W2ZcrRsInZbjWylOi6KhZ,spotify:track:3W2ZcrRsInZbjWylOi6KhZ,https://api.spotify.com/v1/tracks/3W2ZcrRsInZbjWylOi6KhZ,https://api.spotify.com/v1/audio-analysis/3W2ZcrRsInZbjWylOi6KhZ,282813,4
0.545,0.367,0,-10.217,1,0.0724,0.91,2.6e-05,0.359,0.307,80.181,audio_features,1DROPsYf6Skl0CGsubVPJe,spotify:track:1DROPsYf6Skl0CGsubVPJe,https://api.spotify.com/v1/tracks/1DROPsYf6Skl0CGsubVPJe,https://api.spotify.com/v1/audio-analysis/1DROPsYf6Skl0CGsubVPJe,277192,3
0.43,0.916,4,-2.9,0,0.058,0.0357,0,0.173,0.449,75.467,audio_features,1W6EILpPMLzTaYF8XV8C6u,spotify:track:1W6EILpPMLzTaYF8XV8C6u,https://api.spotify.com/v1/tracks/1W6EILpPMLzTaYF8XV8C6u,https://api.spotify.com/v1/audio-analysis/1W6EILpPMLzTaYF8XV8C6u,184800,4
0.706,0.287,5,-14.786,0,0.0254,0.158,0,0.231,0.162,99.985,audio_features,3IDNBXyjvz3f3DvywY746q,spotify:track:3IDNBXyjvz3f3DvywY746q,https://api.spotify.com/v1/tracks/3IDNBXyjvz3f3DvywY746q,https://api.spotify.com/v1/audio-analysis/3IDNBXyjvz3f3DvywY746q,208248,4
0.858,0.41,9,-8.323,0,0.0295,0.242,0.0632,0.322,0.845,99.005,audio_features,5zt3ZHr8qYeWnd6cUDFvbF,spotify:track:5zt3ZHr8qYeWnd6cUDFvbF,https://api.spotify.com/v1/tracks/5zt3ZHr8qYeWnd6cUDFvbF,https://api.spotify.com/v1/audio-analysis/5zt3ZHr8qYeWnd6cUDFvbF,256675,4
0.694,0.508,11,-8.757,1,0.0905,0.645,1.41e-05,0.528,0.444,91.03,audio_features,05YmCPQ5UV63kFIFUlGk7r,spotify:track:05YmCPQ5UV63kFIFUlGk7r,https://api.spotify.com/v1/tracks/05YmCPQ5UV63kFIFUlGk7r,https://api.spotify.com/v1/audio-analysis/05YmCPQ5UV63kFIFUlGk7r,186159,4
0.646,0.5,9,-8.361,0,0.0368,0.303,0.0632,0.172,0.122,117.975,audio_features,1Xam9PSh5grsiSKXXdtiPk,spotify:track:1Xam9PSh5grsiSKXXdtiPk,https://api.spotify.com/v1/tracks/1Xam9PSh5grsiSKXXdtiPk,https://api.spotify.com/v1/audio-analysis/1Xam9PSh5grsiSKXXdtiPk,349827,4
0.638,0.801,4,-11.433,1,0.0493,0.61,7.51e-06,0.373,0.926,116.053,audio_features,5QrHfu4q83HjcFcRi2WlS3,spotify:track:5QrHfu4q83HjcFcRi2WlS3,https://api.spotify.com/v1/tracks/5QrHfu4q83HjcFcRi2WlS3,https://api.spotify.com/v1/audio-analysis/5QrHfu4q83HjcFcRi2WlS3,218520,4
0.641,0.382,7,-15.975,1,0.159,0.741,0.101,0.551,0.686,121.054,audio_features,0MFoWrqSGZs0x4Y156Izuz,spotify:track:0MFoWrqSGZs0x4Y156Izuz,https://api.spotify.com/v1/tracks/0MFoWrqSGZs0x4Y156Izuz,https://api.spotify.com/v1/audio-analysis/0MFoWrqSGZs0x4Y156Izuz,207600,4
0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,audio_features,4iG2gAwKXsOcijVaVXzRPW,spotify:track:4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/tracks/4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/audio-analysis/4iG2gAwKXsOcijVaVXzRPW,261000,3
0.689,0.912,9,-3.673,1,0.0302,0.174,0.000243,0.298,0.982,125.94,audio_features,06rPFgQsKS607RhYIqCmGq,spotify:track:06rPFgQsKS607RhYIqCmGq,https://api.spotify.com/v1/tracks/06rPFgQsKS607RhYIqCmGq,https://api.spotify.com/v1/audio-analysis/06rPFgQsKS607RhYIqCmGq,216347,4
0.454,0.821,7,-4.816,1,0.0324,0.0165,3.55e-06,0.13,0.414,108.533,audio_features,7A1odihHBrI8n9k0Fefh2j,spotify:track:7A1odihHBrI8n9k0Fefh2j,https://api.spotify.com/v1/tracks/7A1odihHBrI8n9k0Fefh2j,https://api.spotify.com/v1/audio-analysis/7A1odihHBrI8n9k0Fefh2j,250333,4
0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,audio_features,3ZOEytgrvLwQaqXreDs2Jx,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/tracks/3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/audio-analysis/3ZOEytgrvLwQaqXreDs2Jx,269000,4
0.548,0.532,1,-8.758,0,0.0264,0.115,1.42e-05,0.125,0.369,124.053,audio_features,3fCJpdK2u4PnZ3tBondozd,spotify:track:3fCJpdK2u4PnZ3tBondozd,https://api.spotify.com/v1/tracks/3fCJpdK2u4PnZ3tBondozd,https://api.spotify.com/v1/audio-analysis/3fCJpdK2u4PnZ3tBondozd,266187,4
0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,audio_features,3XF5xLJHOQQRbWya6hBp7d,spotify:track:3XF5xLJHOQQRbWya6hBp7d,https://api.spotify.com/v1/tracks/3XF5xLJHOQQRbWya6hBp7d,https://api.spotify.com/v1/audio-analysis/3XF5xLJHOQQRbWya6hBp7d,180953,4
0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,audio_features,7eB1V5LvAdxCc7brfGhRRo,spotify:track:7eB1V5LvAdxCc7brfGhRRo,https://api.spotify.com/v1/tracks/7eB1V5LvAdxCc7brfGhRRo,https://api.spotify.com/v1/audio-analysis/7eB1V5LvAdxCc7brfGhRRo,177523,4
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4
0.701,0.748,10,-8.179,0,0.0333,0.0211,0.0125,0.147,0.917,103.559,audio_features,6v3xCVgM73PGb0JIlF264a,spotify:track:6v3xCVgM73PGb0JIlF264a,https://api.spotify.com/v1/tracks/6v3xCVgM73PGb0JIlF264a,https://api.spotify.com/v1/audio-analysis/6v3xCVgM73PGb0JIlF264a,284427,4
0.52,0.202,6,-13.159,0,0.0336,0.963,0.0841,0.0891,0.342,133.842,audio_features,6R9k0IAO7qZUmtzgajfUOb,spotify:track:6R9k0IAO7qZUmtzgajfUOb,https://api.spotify.com/v1/tracks/6R9k0IAO7qZUmtzgajfUOb,https://api.spotify.com/v1/audio-analysis/6R9k0IAO7qZUmtzgajfUOb,222000,4
0.596,0.486,2,-8.246,1,0.0271,0.584,0.00999,0.308,0.178,126.007,audio_features,3KBqzSriIRtGwxvmWd5xWs,spotify:track:3KBqzSriIRtGwxvmWd5xWs,https://api.spotify.com/v1/tracks/3KBqzSriIRtGwxvmWd5xWs,https://api.spotify.com/v1/audio-analysis/3KBqzSriIRtGwxvmWd5xWs,402573,4
0.607,0.902,2,-4.129,0,0.0746,0.0252,0,0.181,0.611,142.95,audio_features,0LuShx5q0CPiZZjSWHK7tN,spotify:track:0LuShx5q0CPiZZjSWHK7tN,https://api.spotify.com/v1/tracks/0LuShx5q0CPiZZjSWHK7tN,https://api.spotify.com/v1/audio-analysis/0LuShx5q0CPiZZjSWHK7tN,172891,4
0.737,0.558,2,-6.304,1,0.0427,0.517,0.000209,0.088,0.445,125.973,audio_features,2ZJKD3QOWZlLJuC9XzS8dn,spotify:track:2ZJKD3QOWZlLJuC9XzS8dn,https://api.spotify.com/v1/tracks/2ZJKD3QOWZlLJuC9XzS8dn,https://api.spotify.com/v1/audio-analysis/2ZJKD3QOWZlLJuC9XzS8dn,263027,4
0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,audio_features,1H5tvpoApNDxvxDexoaAUo,spotify:track:1H5tvpoApNDxvxDexoaAUo,https://api.spotify.com/v1/tracks/1H5tvpoApNDxvxDexoaAUo,https://api.spotify.com/v1/audio-analysis/1H5tvpoApNDxvxDexoaAUo,198400,4
0.537,0.522,2,-9.299,0,0.0416,0.613,0.000414,0.895,0.189,122.018,audio_features,2AVmkK7YoXQCltKf48ktuX,spotify:track:2AVmkK7YoXQCltKf48ktuX,https://api.spotify.com/v1/tracks/2AVmkK7YoXQCltKf48ktuX,https://api.spotify.com/v1/audio-analysis/2AVmkK7YoXQCltKf48ktuX,447787,4
0.631,0.512,5,-9.219,0,0.0578,0.0769,1.81e-06,0.128,0.385,116.074,audio_features,3OBBX1d1F1ygSZZOxLIkU8,spotify:track:3OBBX1d1F1ygSZZOxLIkU8,https://api.spotify.com/v1/tracks/3OBBX1d1F1ygSZZOxLIkU8,https://api.spotify.com/v1/audio-analysis/3OBBX1d1F1ygSZZOxLIkU8,173819,4
0.64,0.636,4,-6.191,0,0.0306,0.748,0.000543,0.109,0.178,111.973,audio_features,0VVXv2n41haopYdO3XE6qO,spotify:track:0VVXv2n41haopYdO3XE6qO,https://api.spotify.com/v1/tracks/0VVXv2n41haopYdO3XE6qO,https://api.spotify.com/v1/audio-analysis/0VVXv2n41haopYdO3XE6qO,407557,4
0.332,0.579,9,-5.483,1,0.0367,0.186,1.12e-06,0.0603,0.242,89.905,audio_features,7yJCsC3OX6FoF6Ig2MOPql,spotify:track:7yJCsC3OX6FoF6Ig2MOPql,https://api.spotify.com/v1/tracks/7yJCsC3OX6FoF6Ig2MOPql,https://api.spotify.com/v1/audio-analysis/7yJCsC3OX6FoF6Ig2MOPql,394880,4
0.499,0.324,0,-7.944,1,0.0641,0.0799,0,0.352,0.397,119.266,audio_features,2mMQFumTaHcwMZsiNE57Um,spotify:track:2mMQFumTaHcwMZsiNE57Um,https://api.spotify.com/v1/tracks/2mMQFumTaHcwMZsiNE57Um,https://api.spotify.com/v1/audio-analysis/2mMQFumTaHcwMZsiNE57Um,116667,4
0.502,0.566,7,-8.728,1,0.0307,0.29,0.0357,0.106,0.256,75.03,audio_features,3gAex0HrVg17v5z6gGiwUQ,spotify:track:3gAex0HrVg17v5z6gGiwUQ,https://api.spotify.com/v1/tracks/3gAex0HrVg17v5z6gGiwUQ,https://api.spotify.com/v1/audio-analysis/3gAex0HrVg17v5z6gGiwUQ,261671,3
0.521,0.938,8,-7.996,0,0.326,0.179,0,0.408,0.714,83.767,audio_features,4ktTv8OPQDbahR4opPanNq,spotify:track:4ktTv8OPQDbahR4opPanNq,https://api.spotify.com/v1/tracks/4ktTv8OPQDbahR4opPanNq,https://api.spotify.com/v1/audio-analysis/4ktTv8OPQDbahR4opPanNq,287733,4
0.596,0.405,4,-14.755,0,0.0377,0.26,0.92,0.103,0.428,130.038,audio_features,0ccPjpRKyE8AKeQH6NW1b8,spotify:track:0ccPjpRKyE8AKeQH6NW1b8,https://api.spotify.com/v1/tracks/0ccPjpRKyE8AKeQH6NW1b8,https://api.spotify.com/v1/audio-analysis/0ccPjpRKyE8AKeQH6NW1b8,205218,4
